trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.9462500000000001}",30,0,-81.83689198179952,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9439000000000002}",20,0,-62.04638151154463,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9415000000000002}",20,0,-114.24209645589337,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9390500000000003}",20,8,-65.38728257225156,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.9365500000000003}",25,0,-229.92210373558908,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.9340000000000003}",20,9,-35.79290666783457,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9314000000000002}",20,0,-150.17019145004159,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9287500000000002}",20,0,-65.5973888469411,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9260500000000002}",20,0,-66.83490235520098,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9233000000000001}",25,0,-50.047701916471574,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9205000000000001}",25,0,-190.47530531449405,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9176500000000001}",25,0,-220.76082233584071,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.9147500000000001}",30,0,-97.3454002334679,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9118}",25,0,-65.4807179699618,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9088}",25,0,-119.07647093207558,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.90575}",25,0,-105.61079363865946,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9026500000000001}",20,0,-33.87410199885428,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.8995000000000001}",30,0,-106.22754620763018,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8963000000000001}",25,0,-111.18472171785163,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8930500000000001}",30,0,-94.93980929153408,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.8897500000000002}",20,6,-65.0682897937455,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.8864000000000002}",20,5,-63.662302423043826,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.8830000000000002}",25,0,-180.93529423736257,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.8795500000000003}",20,0,-105.05438789732737,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.8760500000000003}",30,0,-100.26295255827021,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.8725000000000003}",25,11,-86.31190621207358,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.8689000000000002}",20,0,-114.82271732021637,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.8652500000000002}",25,0,-206.51330999876657,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.8615500000000001}",30,0,-121.84721005737745,"{0: 19, 1: 5, 2: 2, 3: 3, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.8578000000000001}",25,1,-110.01864247643414,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.8540000000000001}",30,0,-173.40034664767316,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.8501500000000001}",35,0,-178.6050546120304,"{0: 25, 1: 1, 2: 5, 3: 0, 4: 4}",0
75,False,"{'a': 0.5, 'e': 0.8462500000000001}",25,0,-103.07688369377041,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.8423}",20,0,-48.53058639208328,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.8383}",20,16,7.815260997886036,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.83425}",20,0,-171.42133487538075,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.83015}",20,0,-134.76627215614556,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.8260000000000001}",35,0,-267.54643545488346,"{0: 19, 1: 4, 2: 5, 3: 3, 4: 4}",0
81,False,"{'a': 0.5, 'e': 0.8218000000000001}",20,0,-52.51024481986879,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.8175500000000001}",20,0,-167.33222907981013,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.8132500000000001}",30,0,-143.24522916016332,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.8089000000000002}",20,9,-14.463344887758106,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.8045000000000002}",20,6,-49.687788666469785,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.8000500000000003}",25,0,-37.307802919978336,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.7955500000000003}",30,16,-91.25341007537118,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.7910000000000003}",20,0,-44.44867872792083,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.7864000000000002}",25,0,-211.64708815079663,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.7817500000000002}",20,0,-154.43540336479882,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.7770500000000001}",25,0,-76.82132889854414,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
